model,CV accuracy,CV accuracy std,CV weighted F1,CV weighted F1 std,CV ROC-AUC,CV ROC-AUC std,test weighted F1
KNN,0.846568898727172,0.0032018585374969733,0.8442059378347426,0.0032695842486787662,0.9002828668425813,0.003600400585961153,0.8363087673108379
Decision Tree,0.8072219147758716,0.0064990158975918155,0.817669024660014,0.005656305254831693,0.8972974927674666,0.002876057603547685,0.8187698834307856
