feature,coefficient
PT08.S4(NO2),0.6914594046710444
C6H6(GT),0.5146914061055835
NOx(GT),0.4837322801294891
T,-0.359076973391887
PT08.S1(CO),0.3039845373398975
PT08.S2(NMHC),-0.23981823779666867
PT08.S5(O3),-0.1789232138436462
RH,-0.17425479162773805
month,0.1627515577971428
NO2(GT),0.15389157034975634
T_RH_Interaction,-0.11713708352446839
hour,0.087640534864862
AH,-0.022727781094200095
PT08.S3(NOx),0.006438864264332884
day,-0.0008231715542902076
