degree,n_features,train_R2,test_R2,test_RMSE
1,15,0.8695937592600789,0.8669117063303328,0.5318033020499616
2,135,0.9239440788690061,0.9181104148638409,0.41715306278719533
3,815,0.9566556091294699,0.9415762785641522,0.3523511632175362
