,best_params,best_cv_r2,test_r2_before,test_r2_after
Random Forest Regressor,"{'max_depth': None, 'n_estimators': 400}",0.9270710344942671,0.9379112153762826,0.9381453659807705
Gradient Boosting Regressor,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.943148061132528,0.9315874369256081,0.9471537745564851
